"Market","Outcome","Date_Char","Back","Lay"
"2015 UK General Election - Party Leaders","Cameron only","06/01/2015 17:20:26",24,1000
"2015 UK General Election - Party Leaders","Cameron only","07/01/2015 17:14:53",24,1000
"2015 UK General Election - Party Leaders","Cameron/Clegg only","06/01/2015 17:16:05",16.5,38
"2015 UK General Election - Party Leaders","Cameron/Clegg only","06/01/2015 17:20:26",16.5,38
"2015 UK General Election - Party Leaders","Cameron/Clegg only","07/01/2015 17:14:53",16.5,40
"2015 UK General Election - Party Leaders","Cameron/E Miliband only","06/01/2015 17:16:05",8,16.5
"2015 UK General Election - Party Leaders","Cameron/E Miliband only","06/01/2015 17:20:26",8,16.5
"2015 UK General Election - Party Leaders","Cameron/E Miliband only","07/01/2015 17:14:53",8,16.5
"2015 UK General Election - Party Leaders","Cameron/E Miliband/Clegg","06/01/2015 17:16:05",1.13,1.18
"2015 UK General Election - Party Leaders","Cameron/E Miliband/Clegg","06/01/2015 17:20:26",1.13,1.18
"2015 UK General Election - Party Leaders","Cameron/E Miliband/Clegg","07/01/2015 17:14:53",1.14,1.18
"2015 UK General Election - Party Leaders","Clegg only","06/01/2015 17:16:05",32,1000
"2015 UK General Election - Party Leaders","Clegg only","06/01/2015 17:20:26",32,1000
"2015 UK General Election - Party Leaders","Clegg only","07/01/2015 17:14:53",32,1000
"2015 UK General Election - Party Leaders","E Miliband only","06/01/2015 17:16:05",29,1000
"2015 UK General Election - Party Leaders","E Miliband only","06/01/2015 17:20:26",29,1000
"2015 UK General Election - Party Leaders","E Miliband only","07/01/2015 17:14:53",29,1000
"2015 UK General Election - Party Leaders","E Miliband/Clegg only","06/01/2015 17:16:05",24,NA
"2015 UK General Election - Party Leaders","E Miliband/Clegg only","06/01/2015 17:20:26",24,NA
"2015 UK General Election - Party Leaders","E Miliband/Clegg only","07/01/2015 17:14:53",24,1000
"2015 UK General Election - Party Leaders","None","06/01/2015 17:16:05",70,1000
"2015 UK General Election - Party Leaders","None","06/01/2015 17:20:26",70,1000
"2015 UK General Election - Party Leaders","None","07/01/2015 17:14:53",70,1000
"2015 UK General Election - Prime Minister After General Election","Boris Johnson","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Boris Johnson","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Boris Johnson","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Chuka Umanna","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Chuka Umanna","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Chuka Umanna","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","David Cameron","06/01/2015 17:16:06",1.84,1.99
"2015 UK General Election - Prime Minister After General Election","David Cameron","06/01/2015 17:20:26",1.84,1.99
"2015 UK General Election - Prime Minister After General Election","David Cameron","07/01/2015 17:14:54",1.84,1.9
"2015 UK General Election - Prime Minister After General Election","David Miliband","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","David Miliband","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","David Miliband","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Ed Balls","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Ed Balls","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Ed Balls","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Ed Miliband","06/01/2015 17:16:06",2.14,2.34
"2015 UK General Election - Prime Minister After General Election","Ed Miliband","06/01/2015 17:20:26",2.14,2.34
"2015 UK General Election - Prime Minister After General Election","Ed Miliband","07/01/2015 17:14:54",2.16,2.38
"2015 UK General Election - Prime Minister After General Election","George Osborne","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","George Osborne","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","George Osborne","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Michael Gove","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Michael Gove","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Michael Gove","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Nick Clegg","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Nick Clegg","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Nick Clegg","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Nigel Farage","06/01/2015 17:16:06",1.03,NA
"2015 UK General Election - Prime Minister After General Election","Nigel Farage","06/01/2015 17:20:26",1.03,NA
"2015 UK General Election - Prime Minister After General Election","Nigel Farage","07/01/2015 17:14:54",1.03,NA
"2015 UK General Election - Prime Minister After General Election","Philip Hammond","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Philip Hammond","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Philip Hammond","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Theresa May","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Theresa May","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Theresa May","07/01/2015 17:14:54",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Yvette Cooper","06/01/2015 17:16:06",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Yvette Cooper","06/01/2015 17:20:26",1.01,NA
"2015 UK General Election - Prime Minister After General Election","Yvette Cooper","07/01/2015 17:14:54",1.01,NA
"Argyll and Bute - Winner","Conservative","06/01/2015 17:15:42",3.5,NA
"Argyll and Bute - Winner","Conservative","06/01/2015 17:20:03",3.5,NA
"Argyll and Bute - Winner","Conservative","07/01/2015 17:14:30",3.5,NA
"Argyll and Bute - Winner","Labour","06/01/2015 17:15:42",2.76,NA
"Argyll and Bute - Winner","Labour","06/01/2015 17:20:03",2.76,NA
"Argyll and Bute - Winner","Labour","07/01/2015 17:14:30",2.76,NA
"Argyll and Bute - Winner","Liberal Democrat","06/01/2015 17:15:42",3.5,NA
"Argyll and Bute - Winner","Liberal Democrat","06/01/2015 17:20:03",3.5,NA
"Argyll and Bute - Winner","Liberal Democrat","07/01/2015 17:14:30",3.5,NA
"Argyll and Bute - Winner","SNP","06/01/2015 17:15:42",1.1,1.69
"Argyll and Bute - Winner","SNP","06/01/2015 17:20:03",1.1,1.69
"Argyll and Bute - Winner","SNP","07/01/2015 17:14:30",1.1,1.69
"Aylesbury - Winner","Conservative","06/01/2015 17:15:43",NA,2.26
"Aylesbury - Winner","Conservative","06/01/2015 17:20:04",NA,2.26
"Aylesbury - Winner","Conservative","07/01/2015 17:14:31",NA,2.26
"Aylesbury - Winner","Labour","06/01/2015 17:15:43",3.75,NA
"Aylesbury - Winner","Labour","06/01/2015 17:20:04",3.75,NA
"Aylesbury - Winner","Labour","07/01/2015 17:14:31",3.75,NA
"Aylesbury - Winner","Liberal Democrat","06/01/2015 17:15:43",3.65,NA
"Aylesbury - Winner","Liberal Democrat","06/01/2015 17:20:04",3.65,NA
"Aylesbury - Winner","Liberal Democrat","07/01/2015 17:14:31",3.65,NA
"Aylesbury - Winner","UKIP","06/01/2015 17:15:43",3.5,NA
"Aylesbury - Winner","UKIP","06/01/2015 17:20:04",3.5,NA
"Aylesbury - Winner","UKIP","07/01/2015 17:14:31",3.5,NA
"Berwick Upon Tweed - Winner","Conservative","06/01/2015 17:15:43",1.11,3.15
"Berwick Upon Tweed - Winner","Conservative","06/01/2015 17:20:04",1.11,3.15
"Berwick Upon Tweed - Winner","Conservative","07/01/2015 17:14:31",1.11,3.15
"Berwick Upon Tweed - Winner","Labour","06/01/2015 17:15:43",3.65,NA
"Berwick Upon Tweed - Winner","Labour","06/01/2015 17:20:04",3.65,NA
"Berwick Upon Tweed - Winner","Labour","07/01/2015 17:14:31",3.65,NA
"Berwick Upon Tweed - Winner","Liberal Democrat","06/01/2015 17:15:43",2.02,4.9
"Berwick Upon Tweed - Winner","Liberal Democrat","06/01/2015 17:20:04",2.02,4.9
"Berwick Upon Tweed - Winner","Liberal Democrat","07/01/2015 17:14:31",1.72,4.9
"Berwick Upon Tweed - Winner","UKIP","06/01/2015 17:15:43",3.65,NA
"Berwick Upon Tweed - Winner","UKIP","06/01/2015 17:20:04",3.65,NA
"Berwick Upon Tweed - Winner","UKIP","07/01/2015 17:14:31",3.65,NA
"Bolton West - Winner","Conservative","06/01/2015 17:15:44",2.5,NA
"Bolton West - Winner","Conservative","06/01/2015 17:20:04",2.5,NA
"Bolton West - Winner","Conservative","07/01/2015 17:14:32",3.5,NA
"Bolton West - Winner","Green","06/01/2015 17:15:44",3.65,NA
"Bolton West - Winner","Green","06/01/2015 17:20:04",3.65,NA
"Bolton West - Winner","Green","07/01/2015 17:14:32",3.65,NA
"Bolton West - Winner","Labour","06/01/2015 17:15:44",1.01,2.72
"Bolton West - Winner","Labour","06/01/2015 17:20:04",1.01,2.72
"Bolton West - Winner","Labour","07/01/2015 17:14:32",NA,1.72
"Bolton West - Winner","Liberal Democrat","06/01/2015 17:15:44",3.65,NA
"Bolton West - Winner","Liberal Democrat","06/01/2015 17:20:04",3.65,NA
"Bolton West - Winner","Liberal Democrat","07/01/2015 17:14:32",3.65,NA
"Bolton West - Winner","UKIP","06/01/2015 17:15:44",3.65,NA
"Bolton West - Winner","UKIP","06/01/2015 17:20:04",3.65,NA
"Bolton West - Winner","UKIP","07/01/2015 17:14:32",3.65,NA
"Bradford East - Winner","Conservative","06/01/2015 17:15:44",8,NA
"Bradford East - Winner","Conservative","06/01/2015 17:20:05",8,NA
"Bradford East - Winner","Conservative","07/01/2015 17:14:32",8,NA
"Bradford East - Winner","Labour","06/01/2015 17:15:44",1.05,1.86
"Bradford East - Winner","Labour","06/01/2015 17:20:05",1.05,1.86
"Bradford East - Winner","Labour","07/01/2015 17:14:32",NA,1.48
"Bradford East - Winner","Liberal Democrat","06/01/2015 17:15:44",3.85,13.5
"Bradford East - Winner","Liberal Democrat","06/01/2015 17:20:05",3.85,13.5
"Bradford East - Winner","Liberal Democrat","07/01/2015 17:14:32",4.2,13.5
"Bradford East - Winner","UKIP","06/01/2015 17:15:44",12,NA
"Bradford East - Winner","UKIP","06/01/2015 17:20:05",12,NA
"Bradford East - Winner","UKIP","07/01/2015 17:14:32",12,NA
"Brent Central - Winner","Conservative","06/01/2015 17:15:45",3.65,NA
"Brent Central - Winner","Conservative","06/01/2015 17:20:05",3.65,NA
"Brent Central - Winner","Conservative","07/01/2015 17:14:33",4.2,NA
"Brent Central - Winner","Labour","06/01/2015 17:15:45",1.01,1.68
"Brent Central - Winner","Labour","06/01/2015 17:20:05",1.01,1.68
"Brent Central - Winner","Labour","07/01/2015 17:14:33",1.02,1.57
"Brent Central - Winner","Liberal Democrat","06/01/2015 17:15:45",3.65,NA
"Brent Central - Winner","Liberal Democrat","06/01/2015 17:20:05",3.65,NA
"Brent Central - Winner","Liberal Democrat","07/01/2015 17:14:33",4.2,NA
"Brent Central - Winner","UKIP","06/01/2015 17:15:45",3.65,NA
"Brent Central - Winner","UKIP","06/01/2015 17:20:05",3.65,NA
"Brent Central - Winner","UKIP","07/01/2015 17:14:33",4.2,NA
"Brighton Pavilion - Winner","Conservative","06/01/2015 17:15:45",3.5,NA
"Brighton Pavilion - Winner","Conservative","06/01/2015 17:20:06",3.5,NA
"Brighton Pavilion - Winner","Conservative","07/01/2015 17:14:33",4.2,NA
"Brighton Pavilion - Winner","Green","06/01/2015 17:15:45",1.54,1.9
"Brighton Pavilion - Winner","Green","06/01/2015 17:20:06",1.54,1.9
"Brighton Pavilion - Winner","Green","07/01/2015 17:14:33",1.55,1.86
"Brighton Pavilion - Winner","Labour","06/01/2015 17:15:45",1.93,2.98
"Brighton Pavilion - Winner","Labour","06/01/2015 17:20:06",1.93,2.98
"Brighton Pavilion - Winner","Labour","07/01/2015 17:14:33",2.02,3
"Brighton Pavilion - Winner","Liberal Democrat","06/01/2015 17:15:45",6.2,NA
"Brighton Pavilion - Winner","Liberal Democrat","06/01/2015 17:20:06",6.2,NA
"Brighton Pavilion - Winner","Liberal Democrat","07/01/2015 17:14:33",6.2,NA
"Brighton Pavilion - Winner","UKIP","06/01/2015 17:15:45",3.6,500
"Brighton Pavilion - Winner","UKIP","06/01/2015 17:20:06",3.6,500
"Brighton Pavilion - Winner","UKIP","07/01/2015 17:14:33",3.6,500
"Cabinet Exit Dates - Chancellor","After Jun 2015","06/01/2015 17:16:44",1.01,6
"Cabinet Exit Dates - Chancellor","After Jun 2015","06/01/2015 17:20:34",1.01,6
"Cabinet Exit Dates - Chancellor","After Jun 2015","07/01/2015 17:15:01",1.01,6
"Cabinet Exit Dates - Chancellor","Apr â€“ Jun 2015","06/01/2015 17:16:44",1.25,2.02
"Cabinet Exit Dates - Chancellor","Apr â€“ Jun 2015","06/01/2015 17:20:34",1.25,2.02
"Cabinet Exit Dates - Chancellor","Apr â€“ Jun 2015","07/01/2015 17:15:01",1.22,2.02
"Cabinet Exit Dates - Chancellor","Jan â€“ Mar 2015","06/01/2015 17:16:44",4.2,100
"Cabinet Exit Dates - Chancellor","Jan â€“ Mar 2015","06/01/2015 17:20:34",4.2,100
"Cabinet Exit Dates - Chancellor","Jan â€“ Mar 2015","07/01/2015 17:15:01",4.2,100
"Cabinet Exit Dates - Prime Minister","After Jun 2015","06/01/2015 17:16:44",1.52,3
"Cabinet Exit Dates - Prime Minister","After Jun 2015","06/01/2015 17:20:34",1.52,3
"Cabinet Exit Dates - Prime Minister","After Jun 2015","07/01/2015 17:15:02",1.52,3
"Cabinet Exit Dates - Prime Minister","Apr â€“ Jun 2015","06/01/2015 17:16:44",1.21,3.8
"Cabinet Exit Dates - Prime Minister","Apr â€“ Jun 2015","06/01/2015 17:20:34",1.21,3.8
"Cabinet Exit Dates - Prime Minister","Apr â€“ Jun 2015","07/01/2015 17:15:02",1.21,3.8
"Cabinet Exit Dates - Prime Minister","Jan â€“ Mar 2015","06/01/2015 17:16:44",1.01,100
"Cabinet Exit Dates - Prime Minister","Jan â€“ Mar 2015","06/01/2015 17:20:34",1.01,100
"Cabinet Exit Dates - Prime Minister","Jan â€“ Mar 2015","07/01/2015 17:15:02",1.01,100
"Cambourne and Redruth - Winner","Conservative","06/01/2015 17:15:46",1.1,2.38
"Cambourne and Redruth - Winner","Conservative","06/01/2015 17:20:06",1.1,2.38
"Cambourne and Redruth - Winner","Conservative","07/01/2015 17:14:33",1.1,3.7
"Cambourne and Redruth - Winner","Green","06/01/2015 17:15:46",3.65,NA
"Cambourne and Redruth - Winner","Green","06/01/2015 17:20:06",3.65,NA
"Cambourne and Redruth - Winner","Green","07/01/2015 17:14:33",3.65,NA
"Cambourne and Redruth - Winner","Labour","06/01/2015 17:15:46",3.65,NA
"Cambourne and Redruth - Winner","Labour","06/01/2015 17:20:06",3.65,NA
"Cambourne and Redruth - Winner","Labour","07/01/2015 17:14:33",3.65,NA
"Cambourne and Redruth - Winner","Liberal Democrat","06/01/2015 17:15:46",3.5,NA
"Cambourne and Redruth - Winner","Liberal Democrat","06/01/2015 17:20:06",3.5,NA
"Cambourne and Redruth - Winner","Liberal Democrat","07/01/2015 17:14:33",3.5,NA
"Cambourne and Redruth - Winner","Mebyon Kernow","06/01/2015 17:15:46",3.75,NA
"Cambourne and Redruth - Winner","Mebyon Kernow","06/01/2015 17:20:06",3.75,NA
"Cambourne and Redruth - Winner","Mebyon Kernow","07/01/2015 17:14:33",3.75,NA
"Cambourne and Redruth - Winner","UKIP","06/01/2015 17:15:46",2.54,NA
"Cambourne and Redruth - Winner","UKIP","06/01/2015 17:20:06",2.54,NA
"Cambourne and Redruth - Winner","UKIP","07/01/2015 17:14:33",2.02,NA
"Cardiff North - Winner","Conservative","06/01/2015 17:15:46",2.02,95
"Cardiff North - Winner","Conservative","06/01/2015 17:20:06",2.02,95
"Cardiff North - Winner","Conservative","07/01/2015 17:14:34",2.22,95
"Cardiff North - Winner","Labour","06/01/2015 17:15:46",1.01,2.34
"Cardiff North - Winner","Labour","06/01/2015 17:20:06",1.01,2.34
"Cardiff North - Winner","Labour","07/01/2015 17:14:34",NA,1.72
"Cardiff North - Winner","Liberal Democrat","06/01/2015 17:15:46",3.5,NA
"Cardiff North - Winner","Liberal Democrat","06/01/2015 17:20:06",3.5,NA
"Cardiff North - Winner","Liberal Democrat","07/01/2015 17:14:34",4.2,NA
"Cardiff North - Winner","Plaid Cymru","06/01/2015 17:15:46",3.5,NA
"Cardiff North - Winner","Plaid Cymru","06/01/2015 17:20:06",3.5,NA
"Cardiff North - Winner","Plaid Cymru","07/01/2015 17:14:34",4.2,NA
"Cardiff North - Winner","UKIP","06/01/2015 17:15:46",3.5,NA
"Cardiff North - Winner","UKIP","06/01/2015 17:20:06",3.5,NA
"Cardiff North - Winner","UKIP","07/01/2015 17:14:34",4.2,NA
"Cardiff South and Penarth - Winner","Conservative","06/01/2015 17:15:46",3.5,NA
"Cardiff South and Penarth - Winner","Conservative","06/01/2015 17:20:07",3.5,NA
"Cardiff South and Penarth - Winner","Conservative","07/01/2015 17:14:34",3.5,NA
"Cardiff South and Penarth - Winner","Labour","06/01/2015 17:15:46",NA,2.5
"Cardiff South and Penarth - Winner","Labour","06/01/2015 17:20:07",NA,2.5
"Cardiff South and Penarth - Winner","Labour","07/01/2015 17:14:34",NA,2.5
"Cardiff South and Penarth - Winner","Liberal Democrat","06/01/2015 17:15:46",3.5,NA
"Cardiff South and Penarth - Winner","Liberal Democrat","06/01/2015 17:20:07",3.5,NA
"Cardiff South and Penarth - Winner","Liberal Democrat","07/01/2015 17:14:34",3.5,NA
"Cardiff South and Penarth - Winner","Plaid Cymru","06/01/2015 17:15:46",3.5,NA
"Cardiff South and Penarth - Winner","Plaid Cymru","06/01/2015 17:20:07",3.5,NA
"Cardiff South and Penarth - Winner","Plaid Cymru","07/01/2015 17:14:34",3.5,NA
"Cardiff South and Penarth - Winner","UKIP","06/01/2015 17:15:46",3.5,NA
"Cardiff South and Penarth - Winner","UKIP","06/01/2015 17:20:07",3.5,NA
"Cardiff South and Penarth - Winner","UKIP","07/01/2015 17:14:34",3.5,NA
"Ceredigion - Winner","Conservative","06/01/2015 17:15:47",3.5,NA
"Ceredigion - Winner","Conservative","06/01/2015 17:20:07",3.5,NA
"Ceredigion - Winner","Conservative","07/01/2015 17:14:35",3.5,NA
"Ceredigion - Winner","Green","06/01/2015 17:15:47",3.5,NA
"Ceredigion - Winner","Green","06/01/2015 17:20:07",3.5,NA
"Ceredigion - Winner","Green","07/01/2015 17:14:35",3.5,NA
"Ceredigion - Winner","Labour","06/01/2015 17:15:47",3.5,NA
"Ceredigion - Winner","Labour","06/01/2015 17:20:07",3.5,NA
"Ceredigion - Winner","Labour","07/01/2015 17:14:35",3.5,NA
"Ceredigion - Winner","Liberal Democrat","06/01/2015 17:15:47",1.02,2.38
"Ceredigion - Winner","Liberal Democrat","06/01/2015 17:20:07",1.02,2.38
"Ceredigion - Winner","Liberal Democrat","07/01/2015 17:14:35",1.02,2.38
"Ceredigion - Winner","Plaid Cymru","06/01/2015 17:15:47",2.02,NA
"Ceredigion - Winner","Plaid Cymru","06/01/2015 17:20:07",2.02,NA
"Ceredigion - Winner","Plaid Cymru","07/01/2015 17:14:35",2.02,NA
"Ceredigion - Winner","UKIP","06/01/2015 17:15:47",3.5,NA
"Ceredigion - Winner","UKIP","06/01/2015 17:20:07",3.5,NA
"Ceredigion - Winner","UKIP","07/01/2015 17:14:35",3.5,NA
"Cheadle - Winner","Conservative","06/01/2015 17:15:47",1.51,4.4
"Cheadle - Winner","Conservative","06/01/2015 17:20:08",1.51,4.4
"Cheadle - Winner","Conservative","07/01/2015 17:14:35",1.51,4.4
"Cheadle - Winner","Labour","06/01/2015 17:15:47",3.5,NA
"Cheadle - Winner","Labour","06/01/2015 17:20:08",3.5,NA
"Cheadle - Winner","Labour","07/01/2015 17:14:35",3.5,NA
"Cheadle - Winner","Liberal Democrat","06/01/2015 17:15:47",1.15,2.5
"Cheadle - Winner","Liberal Democrat","06/01/2015 17:20:08",1.15,2.5
"Cheadle - Winner","Liberal Democrat","07/01/2015 17:14:35",1.15,2.5
"Cheadle - Winner","UKIP","06/01/2015 17:15:47",3.5,NA
"Cheadle - Winner","UKIP","06/01/2015 17:20:08",3.5,NA
"Cheadle - Winner","UKIP","07/01/2015 17:14:35",3.5,NA
"Chippenham - Winner","Conservative","06/01/2015 17:15:48",1.25,1.92
"Chippenham - Winner","Conservative","06/01/2015 17:20:08",1.25,1.92
"Chippenham - Winner","Conservative","07/01/2015 17:14:36",1.25,1.87
"Chippenham - Winner","Green","06/01/2015 17:15:48",20,NA
"Chippenham - Winner","Green","06/01/2015 17:20:08",20,NA
"Chippenham - Winner","Green","07/01/2015 17:14:36",20,NA
"Chippenham - Winner","Labour","06/01/2015 17:15:48",2.22,NA
"Chippenham - Winner","Labour","06/01/2015 17:20:08",2.22,NA
"Chippenham - Winner","Labour","07/01/2015 17:14:36",2.22,NA
"Chippenham - Winner","Liberal Democrat","06/01/2015 17:15:48",2.3,5.8
"Chippenham - Winner","Liberal Democrat","06/01/2015 17:20:08",2.3,5.8
"Chippenham - Winner","Liberal Democrat","07/01/2015 17:14:36",2.32,5.8
"Chippenham - Winner","UKIP","06/01/2015 17:15:48",5.1,NA
"Chippenham - Winner","UKIP","06/01/2015 17:20:08",5.1,NA
"Chippenham - Winner","UKIP","07/01/2015 17:14:36",5.5,NA
"Clacton - Winner","Conservative","06/01/2015 17:15:48",2.5,1000
"Clacton - Winner","Conservative","06/01/2015 17:20:09",2.5,1000
"Clacton - Winner","Conservative","07/01/2015 17:14:36",2.5,1000
"Clacton - Winner","Green","06/01/2015 17:15:48",5.4,NA
"Clacton - Winner","Green","06/01/2015 17:20:09",5.4,NA
