"Outcome", "Probability", "Date"
"Con/Nat coalition",13,"2015-04-06 10:25:26"
"Lab choice of Lib/Nat",11,"2015-04-06 10:25:26"
"Nat choice of Con/Lab",10,"2015-04-06 10:25:26"
"Con choice of Lib/Nat",9,"2015-04-06 10:25:26"
"No overall control",2,"2015-04-06 10:25:26"
"Labour majority",23,"2015-04-07 14:03:33"
"Conservative majority",19,"2015-04-07 14:03:33"
"Lab/Nat coalition",14,"2015-04-07 14:03:33"
"Con/Nat coalition",13,"2015-04-07 14:03:33"
"Lab choice of Lib/Nat",11,"2015-04-07 14:03:33"
"Nat choice of Con/Lab",10,"2015-04-07 14:03:33"
"Con choice of Lib/Nat",9,"2015-04-07 14:03:33"
"No overall control",2,"2015-04-07 14:03:33"
"Labour majority",24,"2015-04-08 18:28:59"
"Conservative majority",18,"2015-04-08 18:28:59"
"Lab/Nat coalition",15,"2015-04-08 18:28:59"
"Con/Nat coalition",13,"2015-04-08 18:28:59"
"Lab choice of Lib/Nat",11,"2015-04-08 18:28:59"
"Nat choice of Con/Lab",10,"2015-04-08 18:28:59"
"Con choice of Lib/Nat",8,"2015-04-08 18:28:59"
"No overall control",2,"2015-04-08 18:28:59"
"Labour majority",25,"2015-04-09 13:52:25"
"Conservative majority",17,"2015-04-09 13:52:25"
"Lab/Nat coalition",14,"2015-04-09 13:52:25"
"Con/Nat coalition",13,"2015-04-09 13:52:25"
"Lab choice of Lib/Nat",11,"2015-04-09 13:52:25"
"Nat choice of Con/Lab",10,"2015-04-09 13:52:25"
"Con choice of Lib/Nat",8,"2015-04-09 13:52:25"
"No overall control",2,"2015-04-09 13:52:25"
"Labour majority",25,"2015-04-10 11:11:13"
"Conservative majority",17,"2015-04-10 11:11:13"
"Lab/Nat coalition",15,"2015-04-10 11:11:13"
"Con/Nat coalition",12,"2015-04-10 11:11:13"
"Lab choice of Lib/Nat",12,"2015-04-10 11:11:13"
"Nat choice of Con/Lab",10,"2015-04-10 11:11:13"
"Con choice of Lib/Nat",8,"2015-04-10 11:11:13"
"No overall control",2,"2015-04-10 11:11:13"
"Labour majority",27,"2015-04-11 09:38:05"
"Conservative majority",16,"2015-04-11 09:38:05"
"Lab/Nat coalition",15,"2015-04-11 09:38:05"
"Con/Nat coalition",13,"2015-04-11 09:38:05"
"Lab choice of Lib/Nat",12,"2015-04-11 09:38:05"
"Nat choice of Con/Lab",10,"2015-04-11 09:38:05"
"Con choice of Lib/Nat",7,"2015-04-11 09:38:05"
"No overall control",1,"2015-04-11 09:38:05"
"Labour majority",23,"2015-04-11 22:47:32"
"Conservative majority",17,"2015-04-11 22:47:32"
"Lab/Nat coalition",15,"2015-04-11 22:47:32"
"Con/Nat coalition",13,"2015-04-11 22:47:32"
"Lab choice of Lib/Nat",12,"2015-04-11 22:47:32"
"Con choice of Lib/Nat",9,"2015-04-11 22:47:32"
"Nat choice of Con/Lab",8,"2015-04-11 22:47:32"
"No overall control",2,"2015-04-11 22:47:32"
"Labour majority",22,"2015-04-12 13:00:44"
"Conservative majority",18,"2015-04-12 13:00:44"
"Lab/Nat coalition",14,"2015-04-12 13:00:44"
"Con/Nat coalition",14,"2015-04-12 13:00:44"
"Lab choice of Lib/Nat",12,"2015-04-12 13:00:44"
"Nat choice of Con/Lab",9,"2015-04-12 13:00:44"
"Con choice of Lib/Nat",9,"2015-04-12 13:00:44"
"No overall control",2,"2015-04-12 13:00:44"
"Labour majority",22,"2015-04-12 21:42:37"
"Conservative majority",18,"2015-04-12 21:42:37"
"Lab/Nat coalition",14,"2015-04-12 21:42:37"
"Con/Nat coalition",14,"2015-04-12 21:42:37"
"Lab choice of Lib/Nat",12,"2015-04-12 21:42:37"
"Nat choice of Con/Lab",9,"2015-04-12 21:42:37"
"Con choice of Lib/Nat",9,"2015-04-12 21:42:37"
"No overall control",2,"2015-04-12 21:42:37"
"Labour majority",22,"2015-04-13 19:54:58"
"Conservative majority",19,"2015-04-13 19:54:58"
"Con/Nat coalition",14,"2015-04-13 19:54:58"
"Lab/Nat coalition",14,"2015-04-13 19:54:58"
"Lab choice of Lib/Nat",12,"2015-04-13 19:54:58"
"Nat choice of Con/Lab",9,"2015-04-13 19:54:58"
"Con choice of Lib/Nat",9,"2015-04-13 19:54:58"
"No overall control",2,"2015-04-13 19:54:58"
"Conservative majority",21,"2015-04-14 23:42:54"
"Labour majority",21,"2015-04-14 23:42:54"
"Con/Nat coalition",14,"2015-04-14 23:42:54"
"Lab/Nat coalition",13,"2015-04-14 23:42:54"
"Lab choice of Lib/Nat",11,"2015-04-14 23:42:54"
"Nat choice of Con/Lab",9,"2015-04-14 23:42:54"
"Con choice of Lib/Nat",9,"2015-04-14 23:42:54"
"No overall control",2,"2015-04-14 23:42:54"
