Name;MP;Region;County Area;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Morley and Outwood;Ed Balls;7;West Yorkshire;74200;17264;18365;8186;0;3535;1506
New Forest East;Julian Lewis;19;Hampshire;72858;26443;4915;15136;0;0;3542
New Forest West;Desmond Swayne;19;Hampshire;68332;27980;4666;11084;0;0;3842
Newark;Patrick Mercer;10;Nottinghamshire;71785;27590;11438;10246;0;0;1954
Newbury;Richard Benyon;19;Berkshire;78329;33057;2505;20809;0;0;2218
Newcastle upon Tyne Central;Chi Onwurah;4;Newcastle area;60507;6611;15694;8228;0;0;3624
Newcastle upon Tyne East;Nick Brown;4;Newcastle area;64487;6068;17043;12590;0;0;2139
Newcastle upon Tyne North;Catherine McKinnell;4;Newcastle area;67110;7966;17950;14536;0;0;3494
Newcastle-under-Lyme;Paul Farrelly;11;Staffordshire;69433;14841;16393;8466;0;0;3491
Newton Abbot;Anne-Marie Morris;18;Devon;69343;20774;3387;20251;0;3088;783
Norfolk Mid;George Freeman;13;Norfolk;74260;25123;8857;11267;0;0;5518
Norfolk North;Norman Lamb;13;Norfolk;67841;15928;2896;27554;0;2680;603
Norfolk North West;Henry Bellingham;13;Norfolk;73207;25916;6353;11106;0;0;4425
Norfolk South;Richard Bacon;13;Norfolk;76165;27133;7252;16193;0;0;4415
Norfolk South West;Elizabeth Truss;13;Norfolk;74298;23753;9119;10613;0;0;5665
Normanton, Pontefract and Castleford;Yvette Cooper;7;West Yorkshire;82239;11314;22293;7585;0;0;5047
Northampton North;Michael Ellis;13;Northamptonshire;64230;13735;11799;11250;0;0;3487
Northampton South;Brian Binley;13;Northamptonshire;66923;15917;9913;7579;0;0;5569
Northamptonshire South;Andrea Leadsom;13;Northamptonshire;82032;33081;10380;12603;0;0;3826
Norwich North;Chloe Smith;13;Norfolk;65258;17280;13379;7783;0;0;4131
Norwich South;Simon Wright;13;Norfolk;73649;10902;13650;13960;0;7095;1944
Nottingham East;Christopher Leslie;10;Nottinghamshire;58707;7846;15022;8053;0;0;2191
Nottingham North;Graham Allen;10;Nottinghamshire;63240;8508;16646;5849;0;0;3282
Nottingham South;Lillian Greenwood;10;Nottinghamshire;67441;13437;15209;9406;0;0;2737
Nuneaton;Marcus Jones;10;Warwickshire;67837;18536;16467;6846;0;0;2797
Old Bexley and Sidcup;James Brokenshire;17;Bexley;65665;24625;8768;6996;0;0;5103
Oldham East and Saddleworth;Phil Woolas;6;Eastern Manchester;72765;11773;14186;14083;0;0;4478
Oldham West and Royton;Michael Meacher;6;Eastern Manchester;72651;10151;19503;8193;0;0;5063
Orpington;Joseph Johnson;17;Bromley;67732;29200;4400;12000;0;0;3311
Oxford East;Andrew Smith;15;Oxfordshire;81886;9727;21938;17357;0;0;2629
Oxford West and Abingdon;Nicola Blackwood;15;Oxfordshire;86458;23906;5999;23730;0;0;2845
Pendle;Andrew Stephenson;5;Lancashire;66417;17512;13927;9095;0;0;4511
Penistone and Stocksbridge;Angela Smith;8;South Yorkshire;68501;14516;17565;9800;0;0;4635
Penrith and The Border;Rory Stewart;4;Cumbria;64548;24071;5834;12830;0;0;2352
Peterborough;Stewart Jackson;13;Cambridgeshire;70316;18133;13272;8816;0;0;4706
Plymouth Moor View;Alison Seabeck;18;Devon;67261;13845;15433;7016;0;0;5232
Plymouth Sutton and Devonport;Oliver Colville;18;Devon;71035;15050;13901;10829;0;0;4114
Poole;Robert Syms;18;Dorset;64661;22532;6041;14991;0;0;3872
Poplar and Limehouse;Jim Fitzpatrick;16;Tower Hamlets;74956;12649;18679;5209;0;8160;2003
Portsmouth North;Penny Mordaunt;19;Hampshire;70329;19533;12244;8874;0;0;3467
Portsmouth South;Mike Hancock;19;Hampshire;70242;13721;5640;18921;0;0;2982
Preston;Mark Hendrick;5;Lancashire;62460;7060;15668;7935;0;0;1842
Pudsey;Stuart Andrew;7;West Yorkshire;69257;18874;17215;10224;0;0;2770
Putney;Justine Greening;17;Wandsworth;63370;21223;11170;6907;0;0;1485
Rayleigh and Wickford;Mark Francois;14;Essex;75905;30257;7577;7919;0;0;6590
Reading East;Rob Wilson;19;Berkshire;74922;21269;12729;13664;0;0;2323
Reading West;Alok Sharma;19;Berkshire;72118;20523;14519;9546;0;0;2942
Redcar;Ian Swales;4;Teesside;67125;5790;13741;18955;0;0;3477
Redditch;Karen Lumley;11;Hereford and Worcestershire;68550;19138;13317;7750;0;0;3813
Reigate;Crispin Blunt;19;Surrey;71604;26688;5672;13097;0;0;4521
Ribble South;Lorraine Fullbrook;5;Lancashire;75822;23396;17842;7271;0;0;2949
Ribble Valley;Nigel Evans;5;Lancashire;78068;26298;11529;10732;0;0;3728
Richmond;William Hague;7;North Yorkshire;79478;33541;8150;10205;0;0;1516
Richmond Park;Zac Goldsmith;17;Richmond Upon Thames;77060;29461;2979;25370;0;0;1458
Rochdale;Simon Danczuk;6;Eastern Manchester;78952;8305;16699;15810;0;0;5093
Rochester and Strood;Mark Reckless;20;Kent;73882;23604;13651;7800;0;0;2916
Rochford and Southend East;James Duddridge;14;Essex;71080;19509;8459;8084;0;0;5579
Romford;Andrew Rosindell;16;Havering;71193;26031;9077;5572;0;2438;3363
Romsey and Southampton North;Caroline Nokes;19;Hampshire;66901;24345;3116;20189;0;0;1289
Rossendale and Darwen;Jake Berry;5;Lancashire;73003;19691;15198;8541;0;0;3698
Rother Valley;Kevin Barron;8;South Yorkshire;72841;13281;19147;8111;0;0;6219
Rotherham;Denis MacShane;8;South Yorkshire;63565;6279;16741;5994;0;3906;4586
Rugby;Mark Pawsey;10;Warwickshire;68914;20901;14901;9434;0;0;2232
Ruislip, Northwood and Pinner;Nick Hurd;17;Hillingdon;70873;28866;9806;8345;0;0;3188
Runnymede and Weybridge;Philip Hammond;19;Surrey;72566;26915;6446;10406;0;0;4383
Rushcliffe;Kenneth Clarke;10;Nottinghamshire;72955;27470;11128;11659;0;0;3430
Rutland and Melton;Alan Duncan;10;Leicestershire;77185;28228;7893;14228;0;0;4871
Saffron Walden;Sir Alan Haselhurst;14;Essex;76035;30155;5288;14913;0;0;4013
Salford and Eccles;Hazel Blears;6;Central Manchester;75482;8497;16655;10930;0;0;5451
Salisbury;John Glen;15;Wiltshire;67429;23859;3690;17893;0;0;3039
Scarborough and Whitby;Robert Goodwill;7;North Yorkshire;75443;21108;12978;11093;0;0;4103
Scunthorpe;Nic Dakin;8;Humber area;63089;12091;14640;6774;0;0;3529
Sedgefield;Phil Wilson;4;Durham;64727;9445;18141;8033;0;0;4603
Sefton Central;Bill Esterson;5;Merseyside;67512;16445;20307;9656;0;0;2055
Selby and Ainsty;Nigel Adams;7;North Yorkshire;72789;25562;13297;9180;0;0;3689
Sevenoaks;Michael Fallon;20;Kent;69591;28076;6541;10561;0;0;4230
Sheffield Brightside and Hillsborough;David Blunkett;8;South Yorkshire;68186;4468;21400;7768;0;3026;2252
Sheffield Central;Paul Blomfield;8;South Yorkshire;69519;4206;17138;16973;0;0;3151
Sheffield Hallam;Nick Clegg;8;South Yorkshire;69378;12040;8228;27324;0;0;3543
Sheffield Heeley;Meg Munn;8;South Yorkshire;65869;7081;17409;11602;0;0;4779
Sheffield South East;Clive Betts;8;South Yorkshire;67284;7202;20169;9664;0;0;4373
Sherwood;Mark Spencer;10;Nottinghamshire;71043;19211;18997;7283;0;0;3463
Shipley;Philip Davies;7;West Yorkshire;67689;24002;14058;9890;0;0;1477
Shrewsbury and Atcham;Daniel Kawczynski;11;Shropshire;75438;23313;10915;15369;0;0;3448
Shropshire North;Owen Paterson;11;Shropshire;78926;26692;9406;10864;0;0;4907
Sittingbourne and Sheppey;Gordon Henderson;20;Kent;75354;24313;11930;7943;0;0;4392
Skipton and Ripon;Julian Smith;7;North Yorkshire;77381;27685;5498;17735;0;0;3806
Sleaford and North Hykeham;Stephen Phillips;8;Lincolnshire;85550;30719;10051;10814;0;3806;4140
Slough;Fiona Mactaggart;19;Berkshire;77068;16361;21884;6943;0;0;2554
Solihull;Lorely Burt;9;Coventry and Solihull;77863;23460;4891;23635;0;0;3143
Somerset North;Liam Fox;15;Bristol area;77304;28549;6448;20687;0;0;2257
Somerset North East;Jacob Rees-Mogg;15;Bristol area;67412;21130;16216;11433;0;0;2424
Somerton and Frome;David Heath;18;Somerset;81548;26976;2675;28793;0;0;2168
South Holland and The Deepings;John Hayes;8;Lincolnshire;76243;29639;7024;7759;0;0;5766
South Shields;David Miliband;4;Newcastle area;63294;7886;18995;5189;0;0;4448
Southampton Itchen;John Denham;19;Hampshire;74532;16134;16326;9256;0;0;2696
Southampton Test;Alan Whitehead;19;Hampshire;71931;14588;17001;9865;0;0;2733
Southend West;David Amess;14;Essex;66527;20086;5850;12816;0;0;4854
Southport;John Pugh;5;Merseyside;67202;15683;4116;21707;0;0;2251
Spelthorne;Kwasi Kwarteng;19;Surrey;70479;22261;7789;12242;0;0;5012
St Albans;Anne Main;14;Hertfordshire;70058;21533;9288;19228;0;0;2786
St Austell and Newquay;Stephen Gilbert;18;Cornwall;76346;18877;3386;20189;0;2007;2779
St Helens North;Dave Watts;5;Merseyside;74985;9940;23041;8992;0;0;2583
St Helens South and Whiston;Shaun Woodward;5;Merseyside;77975;8209;24364;10242;0;0;3266
St Ives;Andrew George;18;Cornwall;66930;17900;3751;19619;0;2560;2091
Stafford;Jeremy Lefroy;11;Staffordshire;70587;22047;16587;8211;0;0;3394
Staffordshire Moorlands;Karen Bradley;11;Staffordshire;62071;19793;13104;7338;0;0;3580
Staffordshire South;Gavin Williamson;11;Staffordshire;73390;26834;10244;8427;0;0;4935
Stalybridge and Hyde;Jonathan Reynolds;6;Eastern Manchester;69037;13445;16189;6965;0;0;4280
Stevenage;Stephen McPartland;14;Hertfordshire;68937;18491;14913;7432;0;0;3815
Stockport;Ann Coffey;6;Eastern Manchester;63525;9913;16697;9778;0;0;2740
Stockton North;Alex Cunningham;4;Teesside;67363;10247;16923;6342;0;0;5986
Stockton South;James Wharton;4;Teesside;74552;19577;19245;7600;0;0;3862
Stoke-on-Trent Central;Tristram Hunt;11;Staffordshire;60995;6833;12605;7039;0;0;5993
Stoke-on-Trent North;Joan Walley;11;Staffordshire;72052;9580;17815;7120;0;0;5681
Stoke-on-Trent South;Robert Flello;11;Staffordshire;68031;11316;15446;6323;0;3762;3005
Stone;William Cash;11;Staffordshire;66979;23890;9770;10598;0;0;2971
Stourbridge;Margot James;9;Black Country;69637;20153;14989;7733;0;0;4359
Stratford-on-Avon;Nadhim Zahawi;10;Warwickshire;69516;26052;4809;14706;0;1846;3129
Streatham;Chuka Umunna;17;Lambeth;74531;8578;20037;16778;0;0;1444
Stretford and Urmston;Kate Green;6;Central Manchester;70091;12886;21821;7601;0;0;2602
Stroud;Neil Carmichael;15;Gloucestershire;78305;23679;22380;8955;0;0;2959
Suffolk Central and Ipswich North;Daniel Poulter;13;Suffolk;75848;27125;8636;13339;0;0;4320
Suffolk Coastal;Therese Coffey;13;Suffolk;76687;25475;8812;16347;0;0;4259
Suffolk South;Tim Yeo;13;Suffolk;72498;24550;7368;15861;0;0;3637
Suffolk West;Matthew Hancock;13;Suffolk;74413;24312;7089;11262;0;0;5426
Sunderland Central;Julie Elliott;4;Newcastle area;74485;12770;19495;7191;0;0;3007
Surrey East;Sam Gyimah;19;Surrey;76855;31007;4925;14133;0;0;4575
Surrey Heath;Michael Gove;19;Surrey;77690;31326;5552;14037;0;0;3432
Surrey South West;Jeremy Hunt;19;Surrey;77980;33605;3419;17287;0;0;2948
Sussex Mid;Nicholas Soames;20;West Sussex;77182;28329;3689;20927;0;0;2910
Sutton and Cheam;Paul Burstow;17;Sutton;66658;20548;3376;22156;0;0;2428
Sutton Coldfield;Andrew Mitchell;9;Birmingham;74489;27303;10298;9117;0;0;3871
Swindon North;Justin Tomlinson;15;Wiltshire;78391;22408;15348;8668;0;0;3871
Swindon South;Robert Buckland;15;Wiltshire;72622;19687;16143;8305;0;0;2984
Tamworth;Christopher Pincher;11;Staffordshire;72693;21238;15148;7516;0;0;2488
Tatton;George Osborne;11;Cheshire;65689;24687;7803;10200;0;0;2541
Taunton Deane;Jeremy Browne;18;Somerset;82537;24538;2967;28531;0;0;2114
Telford;David Wright;11;Shropshire;65061;14996;15974;6399;0;0;3941
Tewkesbury;Laurence Robertson;15;Gloucestershire;76655;25472;6253;19162;0;0;3074
Thanet North;Roger Gale;20;Kent;69432;22826;9298;8400;0;0;2819
Thanet South;Laura Sandys;20;Kent;71596;22043;14426;6935;0;0;2529
Thirsk and Malton;Anne McIntosh;7;North Yorkshire;76231;20167;5169;8886;0;0;3920
Thornbury and Yate;Steve Webb;15;Bristol area;64092;17916;3385;25032;0;0;1893
Thurrock;Jackie Doyle-Price;14;Essex;77758;16869;16777;4901;0;3618;3656
Tiverton and Honiton;Neil Parish;18;Devon;76810;27614;4907;18294;0;0;4079
Tonbridge and Malling;Sir John Stanley;20;Kent;71790;29723;6476;11545;0;0;3570
Tooting;Sadiq Khan;17;Wandsworth;73836;19514;22038;7509;0;0;1594
Torbay;Adrian Sanders;18;Devon;76151;19048;3231;23126;0;2628;1177
Totnes;Sarah Wollaston;18;Devon;67937;21940;3538;17013;0;2890;2462
Tottenham;David Lammy;16;Haringey;69933;6064;24128;7197;0;0;3298
Truro and Falmouth;Sarah Newton;18;Cornwall;70598;20349;4697;19914;0;0;3808
Tunbridge Wells;Greg Clark;20;Kent;72042;28302;5448;12726;0;0;3844
Twickenham;Vincent Cable;17;Richmond Upon Thames;79861;20343;4583;32483;0;0;2312
Tynemouth;Alan Campbell;4;Newcastle area;75680;18121;23860;7845;0;0;2842
Tyneside North;Mary Glindon;4;Newcastle area;77690;8514;23505;10621;0;0;3765
Uxbridge and South Ruislip;John Randall;17;Hillingdon;71168;21758;10542;8995;0;0;3781
Vauxhall;Kate Hoey;17;Lambeth;74811;9301;21498;10847;0;0;1545
Wakefield;Mary Creagh;7;West Yorkshire;70834;15841;17454;7256;0;0;3893
Wallasey;Angela Eagle;5;Merseyside;65915;13071;21578;5693;0;0;1312
Walsall North;David Winnick;9;Black Country;65183;12395;13385;4754;0;2930;2723
Walsall South;Valerie Vaz;9;Black Country;64830;14456;16211;5880;0;0;4335
Walthamstow;Stella Creasy;16;Waltham Forest;64625;5734;21252;11774;0;0;2234
Wansbeck;Ian Lavery;4;Northumberland;63045;6714;17548;10517;0;0;3494
Wantage;Ed Vaizey;15;Oxfordshire;80456;29284;7855;15737;0;0;3465
Warley;John Spellar;9;Black Country;63106;9484;20240;5929;0;0;2617
Warrington North;Helen Jones;11;Cheshire;71601;13364;20135;9196;0;0;1516
Warrington South;David Mowat;11;Cheshire;80506;19641;18088;15094;0;0;2051
Warwick and Leamington;Chris White;10;Warwickshire;67800;20876;17363;8977;0;0;1816
Warwickshire North;Dan Byles;10;Warwickshire;70143;18993;18939;5481;0;0;3852
Washington and Sunderland West;Sharon Hodgson;4;Newcastle area;68910;8157;19615;6382;0;0;3180
Watford;Richard Harrington;14;Hertfordshire;80798;19291;14750;17866;0;0;3301
Waveney;Peter Aldous;13;Suffolk;78532;20571;19802;6811;0;0;3957
Wealden;Charles Hendry;20;East Sussex;76537;31090;5266;13911;0;0;4702
Weaver Vale;Graham Evans;11;Cheshire;66538;16953;15962;8196;0;0;2879
Wellingborough;Peter Bone;13;Northamptonshire;76857;24918;13131;8848;0;0;4764
Wells;Tessa Munt;18;Somerset;79432;23760;4198;24560;0;0;3346
Welwyn Hatfield;Grant Shapps;14;Hertfordshire;72058;27894;10471;8010;0;0;2597
Wentworth and Dearne;John Healey;8;South Yorkshire;72586;7396;21316;6787;0;0;6607
West Bromwich East;Tom Watson;9;Black Country;62824;10961;17657;4993;0;0;4339
West Bromwich West;Adrian Bailey;9;Black Country;65013;10612;16263;4336;0;3394;1566
West Ham;Lyn Brown;16;Newham;85313;6888;29422;5392;0;0;5249
Westminster North;Karen Buck;16;City of Westminster;66739;15251;17377;5513;0;0;1457
Westmorland and Lonsdale;Tim Farron;4;Cumbria;67881;18632;1158;30896;0;0;801
Weston-Super-Mare;John Penrose;15;Bristol area;78487;23356;5772;20665;0;0;2923
Wigan;Lisa Nandy;6;Western Manchester;75564;10917;21404;6797;0;0;5022
Wiltshire North;James Gray;15;Wiltshire;66313;25114;3239;17631;0;0;2715
Wiltshire South West;Andrew Murrison;15;Wiltshire;71645;25321;5613;14954;0;0;3130
Wimbledon;Stephen Hammond;17;Merton;65723;23257;10550;11849;0;0;1739
Winchester;Steve Brine;19;Hampshire;73806;27155;3051;24107;0;0;1642
Windsor;Adam Afriyie;19;Berkshire;69511;30172;4910;11118;0;0;3388
Wirral South;Alison McGovern;5;Merseyside;56099;15745;16276;6611;0;0;1274
Wirral West;Esther McVey;5;Merseyside;55050;16726;14290;6630;0;0;1726
Witham;Priti Patel;14;Essex;66750;24448;8656;9252;0;0;4479
Witney;David Cameron;15;Oxfordshire;78766;33973;7511;11233;0;0;5052
Woking;Jonathan Lord;19;Surrey;73838;26551;4246;19744;0;0;2245
Wokingham;John Redwood;19;Berkshire;76219;28754;5516;15262;0;0;4996
Wolverhampton North East;Emma Reynolds;9;Black Country;59324;11964;14448;4711;0;0;3771
Wolverhampton South East;Pat McFadden;9;Black Country;60450;9912;16505;5277;0;0;3013
Wolverhampton South West;Paul Uppal;9;Black Country;59160;16344;15653;6430;0;0;1733
Worcester;Robin Walker;11;Hereford and Worcestershire;72831;19358;16376;9525;0;0;3715
Worcestershire Mid;Peter Luff;11;Hereford and Worcestershire;72171;27770;7613;11906;0;0;3642
Worcestershire West;Harriett Baldwin;11;Hereford and Worcestershire;73270;27213;3661;20459;0;0;2760
Workington;Tony Cunningham;4;Cumbria;59607;13290;17865;5318;0;0;2786
Worsley and Eccles South;Barbara Keeley;6;Central Manchester;72473;13555;17892;6883;0;0;3371
Worthing East and Shoreham;Tim Loughton;20;West Sussex;74001;23458;8087;12353;0;0;4499
Worthing West;Peter Bottomley;20;West Sussex;75945;25416;5800;13687;0;0;4220
Wrekin, The;Mark Pritchard;11;Shropshire;65544;21922;12472;8019;0;0;3555
Wycombe;Steven Baker;14;Buckinghamshire;74502;23423;8326;13863;0;0;2539
Wyre and Preston North;Ben Wallace;5;Lancashire;71201;26877;10932;11033;0;0;2466
Wyre Forest;Mark Garnier;11;Hereford and Worcestershire;76711;18793;7298;6040;0;16150;2618
Wythenshawe and Sale East;Paul Goggins;6;Central Manchester;79923;10412;17987;9107;0;0;3245
Yeovil;David Laws;18;Somerset;82314;18807;2991;31843;0;2357;1162
York Central;Hugh Bayley;7;North Yorkshire;74908;12122;18573;11694;0;0;4094
York Outer;Julian Sturdy;7;North Yorkshire;74965;22912;9108;19224;0;0;2056
Yorkshire East;Greg Knight;8;Humber area;80342;24328;10401;10842;0;0;5683
Aberavon;Hywel Francis;12;West Glamorgan;50789;4411;16073;5034;2198;1276;1966
Aberconwy;Guto Bebb;12;Clwyd;44593;10734;7336;5786;5341;0;769
Alyn and Deeside;Mark Tami;12;Clwyd;60931;12885;15804;7308;1549;1368;1009
Arfon;Hywel Williams;12;Gwynedd;41198;4416;7928;3666;9383;0;685
Blaenau Gwent;Nick Smith;12;Gwent;52438;2265;16974;3285;1333;6458;2080
Brecon and Radnorshire;Roger Williams;12;Powys;53589;14182;4096;17929;989;876;773
Bridgend;Madeleine Moon;12;Mid Glamorgan;58700;11668;13931;8658;2269;1020;801
Caerphilly;Wayne David;12;Gwent;62134;6622;17377;5688;6460;1635;910
Cardiff Central;Jenny Willott;12;South Glamorgan;61162;7799;10400;14976;1246;765;965
Cardiff North;Jonathan Evans;12;South Glamorgan;65553;17860;17666;8724;1588;1130;662
Cardiff South and Penarth;Alun Michael;12;South Glamorgan;73704;12553;17262;9875;1851;1145;1683
Cardiff West;Kevin Brennan;12;South Glamorgan;62787;12143;16894;7186;2868;1117;750
Carmarthen East and Dinefwr;Jonathan Edwards;12;Dyfed;52385;8506;10065;4609;13546;1285;0
Carmarthen West and Pembrokeshire South;Simon Hart;12;Dyfed;57519;16649;13226;4890;4232;1146;364
Ceredigion;Mark Williams;12;Dyfed;59043;4421;2210;19139;10815;977;696
Clwyd South;Susan Elan Jones;12;Clwyd;53748;10477;13311;5965;3009;1100;819
Clwyd West;David Jones;12;Clwyd;57913;15833;9414;5801;5864;864;335
Cynon Valley;Ann Clwyd;12;Mid Glamorgan;50656;3010;15681;4120;6064;1001;0
Delyn;David Hanson;12;Clwyd;53470;12811;15083;5747;1844;844;655
Dwyfor Meirionnydd;Elfyn Llwyd;12;Gwynedd;45354;6447;4021;3538;12814;1310;776
Gower;Martin Caton;12;West Glamorgan;61696;13333;16016;7947;2760;963;652
Islwyn;Christopher Evans;12;Gwent;54826;4854;17069;3597;4518;1495;3157
Llanelli;Nia Griffith;12;Dyfed;55637;5381;15916;3902;11215;1047;0
Merthyr Tydfil and Rhymney;Dai Havard;12;Mid Glamorgan;54715;2412;14007;9951;1621;1845;2240
Monmouth;David Davies;12;Gwent;62768;22466;12041;9026;1273;1126;587
Montgomeryshire;Glyn Davies;12;Powys;48730;13976;2407;12792;2802;1128;708
Neath;Peter Hain;12;West Glamorgan;57186;4847;17172;5535;7397;1342;829
Newport East;Jessica Morden;12;Gwent;54437;7918;12744;11094;724;1168;800
Newport West;Paul Flynn;12;Gwent;62111;12845;16389;6587;1122;1183;1594
Ogmore;Huw Irranca-Davies;12;Mid Glamorgan;55527;5398;18644;5260;3326;1242;780
Pontypridd;Owen Smith;12;Mid Glamorgan;58219;5932;14220;11435;2673;1229;1182
Preseli Pembrokeshire;Stephen Crabb;12;Dyfed;57419;16944;12339;5759;3654;906;0
Rhondda;Chris Bryant;12;Mid Glamorgan;51554;1993;17183;3309;5630;2599;358
Swansea East;Sian James;12;West Glamorgan;59823;4823;16819;5981;2181;1715;1157
Swansea West;Geraint Davies;12;West Glamorgan;61334;7407;12335;11831;1437;910;1673
Torfaen;Paul Murphy;12;Gwent;61178;7541;16847;6264;2005;1657;3326
Vale of Clwyd;Chris Ruane;12;Clwyd;55781;12508;15017;4472;2068;827;642
Vale of Glamorgan;Alun Cairns;12;South Glamorgan;70262;20341;16034;7403;2667;1529;693
Wrexham;Ian Lucas;12;Clwyd;50872;8375;12161;8503;2029;1134;774
Ynys Mon;Albert Owen;12;Gwynedd;50075;7744;11490;2592;9029;2225;1364
Aberdeen North;Frank Doran;1;Grampian;64808;4666;16746;7001;8385;0;903
Aberdeen South;Anne Begg;1;Grampian;64031;8914;15722;12216;5102;0;1080
Aberdeenshire West and Kincardine;Sir Robert Smith;1;Grampian;66110;13678;6159;17362;7086;0;910
Airdrie and Shotts;Pamela Nash;2;Glasgow area;62364;3133;20849;2898;8441;0;528
Angus;Michael Weir;1;Tayside;62863;11738;6535;4090;15020;0;577
Argyll and Bute;Alan Reid;2;Argyll and Bute;67165;10861;10274;14292;8563;0;1217
Ayr Carrick and Cumnock;Sandra Osborne;2;Ayrshire and Lanark;73320;11721;21632;4264;8276;0;0
Ayrshire Central;Brian Donohoe;2;Ayrshire and Lanark;68352;8943;20950;5236;8364;0;422
Ayrshire North and Arran;Katy Clark;2;Ayrshire and Lanark;74953;7212;21860;4630;11965;0;449
Banff and Buchan;Eilidh Whiteford;1;Grampian;64300;11841;5382;4365;15868;0;1010
Berwickshire, Roxburgh and Selkirk;Michael Moore;1;Borders;73826;16555;5003;22230;4497;0;729
Caithness Sutherland and Easter Ross;John Thurso;1;Highland;47257;3744;7081;11907;5516;0;520
Coatbridge, Chryston and Bellshill;Tom Clarke;2;Glasgow area;70067;3374;27728;3519;7014;0;0
Cumbernauld, Kilsyth and Kirkintilloch East;Gregg McClymont;2;Glasgow area;64037;3407;23549;3924;9794;0;476
Dumfries and Galloway;Russell Brown;2;Dumfries and Galloway;74581;16501;23950;4608;6419;0;695
Dumfriesshire, Clydesdale and Tweeddale;David Mundell;2;Dumfries and Galloway;66627;17457;13263;9080;4945;0;1147
Dunbartonshire East;Jo Swinson;2;Glasgow area;63795;7431;16367;18551;5054;0;545
Dunbartonshire West;Gemma Doyle;2;Glasgow area;66085;3242;25905;3434;8497;0;1188
Dundee East;Stewart Hosie;1;Tayside;65471;6177;13529;4285;15350;0;1227
Dundee West;James McGovern;1;Tayside;63013;3461;17994;4233;10716;0;722
Dunfermline and West Fife;Thomas Docherty;1;Fife;73769;3305;22639;17169;5201;0;633
East Kilbride, Strathaven and Lesmahagow;Michael McCann;2;Ayrshire and Lanark;76534;6613;26241;5052;11738;0;1302
East Lothian;Fiona O'Donnell;1;Edinburgh area;73438;9661;21919;8288;7883;0;1410
Edinburgh East;Sheila Gilmore;1;Edinburgh area;60941;4358;17314;7751;8133;2035;274
Edinburgh North and Leith;Mark Lazarowicz;1;Edinburgh area;69204;7079;17740;16016;4568;1062;891
Edinburgh South;Ian Murray;1;Edinburgh area;59354;9452;15215;14899;3354;0;881
Edinburgh South West;Alistair Darling;1;Edinburgh area;66359;11026;19473;8194;5530;0;1239
Edinburgh West;Michael Crockart;1;Edinburgh area;65161;10767;12881;16684;6115;0;0
Falkirk;Eric Joyce;1;Central;81869;5698;23207;5225;15364;0;1283
Fife North East;Sir Menzies Campbell;1;Fife;62969;8715;6869;17763;5685;0;1032
Glasgow Central;Anas Sarwar;2;Glasgow area;60062;2158;15908;5010;5357;800;1347
Glasgow East;Margaret Curran;2;Glasgow area;61516;1453;19797;1617;7957;677;663
Glasgow North;Ann McKechin;2;Glasgow area;51416;2089;13181;9283;3530;0;1530
Glasgow North East;Willie Bain;2;Glasgow area;59859;1569;20100;2262;4158;798;522
Glasgow North West;John Robertson;2;Glasgow area;60968;3537;19233;5622;5430;0;1760
Glasgow South;Tom Harris;2;Glasgow area;65029;4592;20736;4739;8078;0;1949
Glasgow South West;Ian Davidson;2;Glasgow area;58182;2084;19863;2870;5192;0;1772
Glenrothes;Lindsay Roy;1;Fife;67893;2922;25247;3108;8799;0;425
Gordon;Malcolm Bruce;1;Grampian;73420;9111;9811;17575;10827;0;1451
Inverclyde;David Cairns;2;Glasgow area;59209;4502;20993;5007;6577;0;433
Inverness Nairn Badenoch and Strathspey;Danny Alexander;1;Highland;72528;6278;10407;19172;8803;0;2426
Kilmarnock and Loudoun;Cathy Jamieson;2;Ayrshire and Lanark;74131;6592;24460;3419;12082;0;0
Kirkcaldy and Cowdenbeath;Gordon Brown;1;Fife;73665;4258;29559;4269;6550;0;1166
Lanark and Hamilton East;Jimmy Hood;2;Ayrshire and Lanark;74773;6981;23258;5249;9780;0;1286
Linlithgow and East Falkirk;Michael Connarty;1;Edinburgh area;80907;6146;25634;6589;13081;0;0
Livingston;Graeme Morrice;1;Edinburgh area;75924;5158;23215;5316;12424;0;1794
Midlothian;David Hamilton;1;Edinburgh area;61387;4661;18449;6711;8100;0;1321
Moray;Angus Robertson;1;Grampian;65925;10683;7007;5956;16273;0;1085
Motherwell and Wishaw;Frank Roy;2;Glasgow area;66918;3660;23910;3840;7104;0;609
Na h-Eileanan An Iar (Western Isles);Angus MacNeil;1;Western Isles;22266;647;4838;1097;6723;1412;0
Ochil and South Perthshire;Gordon Banks;1;Central;75115;10342;19131;5754;13944;0;1298
Orkney and Shetland;Alistair Carmichael;1;Orkney and Shetland;33085;2032;2061;11989;2042;0;1222
Paisley and Renfrewshire North;James Sheridan;2;Glasgow area;63704;6381;23613;4597;8333;0;783
Paisley and Renfrewshire South;Douglas Alexander;2;Glasgow area;61197;3979;23842;3812;7228;0;1137
Perth and North Perthshire;Peter Wishart;1;Tayside;72141;14739;7923;5954;19118;0;534
Renfrewshire East;Jim Murphy;2;Glasgow area;66249;15567;25987;4720;4535;0;372
Ross Skye and Lochaber;Charles Kennedy;1;Highland;51836;4260;5265;18335;5263;0;1715
